num processes,multi-tile strategy,single-image strategy,tiles x,tiles y,width,height,transparent,interlacing,collection,max image split,frame,render time,buffer read time,buffer write time,compress time,blend time,draw time,composite time,collect time,bytes sent,frame time,Intrepid Mode
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,14,0.008933,0,0,0.000132,0.000139,0.030021,0.021097,0.015068,351370984,0.030564,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,15,0.00723,0,0,0.000131,0.000138,0.038501,0.03128,0.025514,310569408,0.039038,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,16,0.00886,0,0,0.00013,4.1e-05,0.033756,0.024905,0.018784,295105864,0.034296,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,17,0.012106,0,0,0.000134,0.000138,0.04407,0.031973,0.02575,365607360,0.044607,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,18,0.007326,0,0,0.000132,0.000138,0.041456,0.034139,0.028166,309693808,0.041995,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,19,0.010504,0,0,0.000134,6e-05,0.030892,0.020396,0.014376,273658144,0.031428,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,20,0.010546,0,0,0.000136,0.00012,0.033462,0.022924,0.016826,348418976,0.033999,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,21,0.010666,0,0,0.000136,0.000115,0.03538,0.024723,0.018503,358264128,0.035915,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,22,0.011746,0,0,0.000135,0.000122,0.034046,0.022309,0.016064,349217936,0.034584,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,23,0.011774,0,0,0.00014,0.000162,0.034289,0.022523,0.016417,353535656,0.034825,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,24,0.013136,0,0,0.000133,5.9e-05,0.04315,0.030021,0.023757,314299784,0.043687,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,25,0.011553,0,0,0.000137,0.000153,0.034776,0.023231,0.017133,346456928,0.035316,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,26,0.007361,0,0,0.000131,0.000149,0.028998,0.021645,0.015701,287424720,0.029538,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,27,0.013202,0,0,0.000135,9.2e-05,0.045459,0.032264,0.025715,372689360,0.045995,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,28,0.012638,0,0,0.000136,0.000107,0.035109,0.022478,0.016293,344446712,0.035645,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,29,0.011027,0,0,0.000135,8.5e-05,0.030101,0.019083,0.0127,355684120,0.030637,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,30,0.012696,0,0,0.000136,0.00012,0.03428,0.021593,0.015037,384470576,0.034815,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,31,0.008243,0,0,0.000132,0.000163,0.032857,0.024622,0.018585,311761640,0.033394,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,32,0.010399,0,0,0.000132,0.000148,0.036803,0.026413,0.020284,348414888,0.037341,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,33,0.013631,0,0,0.000136,0.000107,0.046299,0.032676,0.026386,346712048,0.046836,SMP
